,price,host_is_superhost,host_total_listings_count,host_has_profile_pic,zipcode,property_type,room_type,bathrooms,beds,bed_type,security_deposit,cleaning_fee,minimum_nights,instant_bookable,cancellation_policy,senti_score,walk_score
0,170.0,1,1.0,1,94117,1,1,1.0,2.0,1,100.0,100.0,1,1,2,0.7696746543778797,97
1,99.0,1,2.0,1,94131,2,2,1.0,1.0,1,0.0,10.0,1,0,1,0.7969449999999998,71
2,65.0,1,10.0,1,94117,1,2,4.0,1.0,1,200.0,50.0,32,0,1,0.7158,97
3,65.0,1,10.0,1,94117,1,2,4.0,1.0,1,200.0,50.0,32,0,1,0.7638874999999999,97
4,475.0,0,2.0,1,94117,2,1,1.5,2.0,1,0.0,225.0,4,0,2,0.9283535714285712,97
5,139.0,1,2.0,1,94110,1,2,1.0,2.0,1,0.0,50.0,1,1,1,0.8386531250000006,99
6,135.0,1,1.0,1,94107,2,2,1.0,1.0,1,0.0,50.0,1,0,1,0.7421821917808222,85
7,120.0,0,0.0,1,94109,1,1,1.0,1.0,1,500.0,75.0,30,0,2,0.8853277777777777,100
8,177.0,0,48.0,1,94117,1,1,1.0,3.0,1,2500.0,208.0,30,0,1,0.7387351351351352,97
9,194.0,0,48.0,1,94102,1,1,2.0,3.0,1,3000.0,208.0,30,0,1,0.7129800000000001,97
10,139.0,0,48.0,1,94102,1,1,1.5,1.0,1,2500.0,130.0,30,0,1,0.8454421052631578,97
11,85.0,1,10.0,1,94117,1,2,4.0,2.0,1,200.0,50.0,32,0,1,0.7116333333333333,97
12,85.0,1,10.0,1,94117,1,2,3.0,2.0,1,200.0,50.0,32,0,1,0.8512600000000001,97
13,79.0,1,1.0,1,94114,1,2,1.0,1.0,1,0.0,10.0,3,1,1,0.8697265700483103,97
14,166.0,1,1.0,1,94117,2,1,1.0,3.0,1,899.0,279.0,30,0,1,0.8136235294117646,97
15,450.0,0,4.0,1,94105,1,1,2.0,2.0,1,5000.0,250.0,30,0,1,0.6231142857142858,99
16,110.0,1,3.0,1,94117,2,2,1.0,1.0,1,130.0,30.0,2,0,1,0.7981083123425693,97
17,125.0,1,1.0,1,94133,1,1,1.0,1.0,1,500.0,100.0,30,0,2,0.8215714285714284,98
18,65.0,1,10.0,1,94117,1,2,4.0,1.0,1,200.0,50.0,32,0,1,0.7276571428571428,97
19,98.0,1,2.0,1,94110,1,2,0.5,1.0,1,500.0,30.0,3,1,1,0.7241067929593654,99
20,155.0,1,1.0,1,94114,2,1,1.0,1.0,1,200.0,60.0,3,0,1,0.8108421994884921,97
21,180.0,1,1.0,1,94114,1,1,2.0,2.0,1,250.0,80.0,3,0,2,0.7899545081967215,97
22,155.0,1,2.0,1,94107,1,2,1.0,1.0,1,500.0,80.0,2,0,1,0.8239146757679179,85
23,195.0,1,3.0,1,94115,1,1,1.0,1.0,1,0.0,20.0,5,1,2,0.7950487261146494,98
24,150.0,1,1.0,1,94131,2,2,1.0,1.0,1,0.0,25.0,5,0,2,0.8164435897435895,71
25,110.0,1,3.0,1,94117,2,2,1.0,1.0,1,150.0,30.0,3,0,1,0.7944946386946395,97
26,125.0,1,1.0,1,94107,2,2,1.0,1.0,1,300.0,50.0,4,0,2,0.81105750798722,85
27,110.0,1,3.0,1,94115,2,2,1.5,1.0,1,500.0,40.0,2,0,1,0.7241067929593654,98
28,450.0,0,2.0,1,94117,1,1,2.0,7.0,1,500.0,160.0,2,1,1,0.696390909090909,97
29,125.0,0,1.0,1,94114,1,1,1.0,1.0,1,3000.0,125.0,30,0,2,0.835322727272727,97
30,199.0,1,2.0,1,94110,1,2,1.0,2.0,1,0.0,75.0,1,1,1,0.8022851851851852,99
31,220.0,1,3.0,1,94110,2,1,2.0,2.0,1,100.0,140.0,4,0,1,0.866525,99
32,155.0,1,1.0,1,94121,1,1,1.0,2.0,1,0.0,0.0,2,0,3,0.7799551724137929,92
33,150.0,0,1.0,1,94110,1,1,1.0,2.0,1,200.0,0.0,30,0,1,0.8262265957446806,99
34,107.0,0,35.0,1,94110,1,1,1.0,1.0,1,0.0,155.0,30,0,4,0.748725,99
35,94.0,0,2.0,1,94110,1,1,1.0,1.0,1,500.0,65.0,60,0,2,0.7890318181818181,99
36,67.0,0,1.0,1,94118,1,2,1.0,1.0,1,0.0,35.0,30,0,2,0.7992277372262775,99
37,159.0,0,4.0,1,94114,2,1,1.0,1.0,1,150.0,120.0,4,0,3,0.8215462962962964,97
38,125.0,1,1.0,1,94110,2,2,2.0,1.0,1,0.0,50.0,3,0,2,0.7713658823529407,99
39,290.0,1,0.0,1,94110,1,1,1.0,2.0,1,5000.0,120.0,30,0,2,0.8055607594936707,99
40,170.0,0,1.0,1,94109,1,1,1.0,1.0,1,500.0,0.0,30,1,1,0.7241067929593654,100
41,85.0,0,35.0,1,94110,1,1,1.0,2.0,1,0.0,155.0,30,0,4,0.7536999999999999,99
42,85.0,0,35.0,1,94110,2,1,1.0,2.0,1,0.0,155.0,30,0,4,0.860175,99
43,104.0,0,1.0,1,94110,1,1,1.5,1.0,2,200.0,0.0,10,0,2,0.6772181818181818,99
44,150.0,0,35.0,1,94107,1,1,1.0,2.0,1,0.0,205.0,30,0,4,0.5264,85
45,120.0,0,35.0,1,94117,1,1,1.0,2.0,1,0.0,205.0,30,0,4,0.7540375000000001,97
46,95.0,1,2.0,1,94110,1,1,1.0,1.0,1,2000.0,75.0,31,0,1,0.8606265017667842,99
47,116.0,0,4.0,1,94114,1,1,1.0,2.0,1,100.0,75.0,3,0,2,0.7146592857142855,97
48,125.0,1,3.0,1,94117,2,2,3.0,1.0,1,0.0,30.0,1,1,2,0.7579911564625846,97
49,78.0,1,1.0,1,94127,2,1,1.0,1.0,1,400.0,100.0,30,0,1,0.8814000000000001,28
50,160.0,0,2.0,1,94103,1,2,1.0,1.0,1,150.0,30.0,2,0,2,0.7241067929593654,97
51,119.0,1,1.0,1,94117,1,1,1.0,1.0,1,100.0,175.0,30,1,1,0.8667869158878502,97
52,90.0,1,3.0,1,94110,2,2,1.0,1.0,1,100.0,60.0,3,0,1,0.8470183098591546,99
53,163.0,0,2.0,1,94109,1,1,1.0,2.0,1,200.0,0.0,60,0,1,0.8205724137931036,100
54,195.0,1,1.0,1,94104,1,1,1.0,1.0,1,500.0,120.0,30,1,1,0.6397666666666666,99
55,112.0,1,4.0,1,94121,1,1,1.0,2.0,1,1000.0,200.0,30,0,1,0.86324,92
56,116.0,1,4.0,1,94131,1,1,1.0,2.0,1,3000.0,200.0,30,0,1,0.8129000000000001,71
57,175.0,1,1.0,1,94110,1,1,1.0,1.0,1,0.0,0.0,30,0,1,0.779959069767442,99
58,99.0,0,4.0,1,94110,1,2,1.0,1.0,1,300.0,100.0,2,1,1,0.7891868852459013,99
59,350.0,0,1.0,1,94131,2,1,2.0,2.0,1,0.0,125.0,2,0,2,0.7241067929593654,71
60,225.0,1,1.0,1,94103,1,1,1.0,1.0,1,500.0,150.0,29,0,1,0.7241067929593654,97
61,109.0,0,4.0,1,94133,1,2,2.0,1.0,1,0.0,40.0,2,1,2,0.6988197530864201,98
62,150.0,1,1.0,1,94110,2,2,1.0,1.0,2,0.0,80.0,30,1,3,0.8818145833333336,99
63,349.0,0,5.0,1,94117,2,1,2.0,4.0,1,800.0,185.0,4,1,1,0.8374378109452737,97
64,85.0,1,2.0,1,94131,1,2,1.0,1.0,1,0.0,45.0,2,0,2,0.8796222222222223,71
65,125.0,0,4.0,1,94110,1,1,1.0,1.0,1,300.0,125.0,2,1,1,0.7241067929593654,99
66,90.0,1,1.0,1,94123,1,2,2.0,1.0,1,350.0,75.0,30,0,3,0.8851567164179104,97
67,95.0,0,2.0,1,94121,1,1,1.0,1.0,1,500.0,75.0,30,0,1,0.6901639175257729,92
68,216.0,0,35.0,1,94121,1,1,2.0,4.0,1,0.0,205.0,30,0,4,0.6642083333333333,92
